Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
rotu1241	0	0	0	Austronesian
tong1308	0	1	0	Austroasiatic
tulu1258	1	1	1	Dravidian
west2548	0	1	0	Austronesian
zaba1237	0	0	0	Austronesian
anuf1239	0	0	0	Atlantic-Congo
awad1244	1	0	0	Austronesian
indo1316	0	0	0	Austronesian
ewee1241	0	0	0	Atlantic-Congo
hote1245	0	0	0	Austronesian
jeha1242	0	0	0	Austroasiatic
loka1252	0	0	0	Atlantic-Congo
mban1263	0	0	0	Atlantic-Congo
nang1262	0	1	0	Austronesian
saaa1241	0	0	0	Austronesian
sang1331	0	0	0	Atlantic-Congo
tswa1255	0	0	0	Atlantic-Congo
agut1237	0	1	0	Austronesian
arop1243	0	0	1	Austronesian
dand1238	1	0	1	Dravidian
mudu1239	1	1	1	Dravidian
rovi1238	0	0	0	Austronesian
taga1272	0	1	1	Austronesian
tote1238	0	1	0	Atlantic-Congo
atam1240	0	1	0	Austronesian
aulu1238	0	0	0	Austronesian
kara1487	0	0	1	Austronesian
kiku1240	0	0	0	Atlantic-Congo
motu1246	1	1	0	Austronesian
nsen1242	0	1	0	Atlantic-Congo
orow1242	0	0	0	Austronesian
tuki1240	0	1	0	Atlantic-Congo
baba1266	0	0	0	Atlantic-Congo
bamu1253	0	0	0	Atlantic-Congo
blan1242	0	0	0	Austroasiatic
cham1309	1	1	1	Nakh-Daghestanian
damp1237	0	1	0	Austronesian
jurm1239	0	0	0	Central Sudanic
lend1245	0	0	0	Central Sudanic
maka1304	0	0	0	Atlantic-Congo
meta1238	0	0	0	Atlantic-Congo
nort2774	0	0	0	Atlantic-Congo
nupe1254	0	0	0	Atlantic-Congo
remb1250	0	0	0	Austronesian
sout2918	0	0	0	Austronesian
tang1347	0	0	0	Austronesian
tiko1237	0	0	0	Austronesian
adze1240	0	0	0	Austronesian
kare1338	0	0	0	Atlantic-Congo
makh1266	0	1	0	Atlantic-Congo
mang1378	0	0	0	Austroasiatic
samb1311	0	0	0	Atlantic-Congo
sout2895	0	0	0	Austronesian
aree1239	1	0	0	Austronesian
bekw1241	0	0	0	Atlantic-Congo
gapa1238	1	1	0	Austronesian
ling1265	0	0	0	Austronesian
mask1242	0	0	0	Austronesian
mwan1247	0	1	0	Atlantic-Congo
wand1267	0	0	0	Austronesian
west2397	0	1	0	Austroasiatic
dawr1236	1	0	1	Ta-Ne-Omotic
emae1237	0	0	0	Austronesian
gata1239	1	0	1	Austroasiatic
jara1266	0	0	0	Austronesian
kola1285	0	1	0	Austronesian
mund1320	1	1	0	Austroasiatic
ngam1268	0	0	0	Central Sudanic
noku1237	0	0	0	Austronesian
onto1237	0	1	0	Austronesian
romb1245	0	0	1	Austronesian
sant1410	1	1	0	Austroasiatic
sara1321	0	0	0	Central Sudanic
tata1257	0	0	1	Austronesian
caro1242	0	0	1	Austronesian
esim1238	0	0	0	Atlantic-Congo
labu1248	0	0	0	Austronesian
male1289	0	0	0	Austronesian
mang1394	0	0	0	Central Sudanic
matb1237	0	0	0	Austronesian
puka1242	0	0	0	Austronesian
tane1237	0	0	0	Austronesian
bala1311	0	1	0	Austronesian
bitt1240	0	0	0	Austroasiatic
khin1240	1	0	1	Nakh-Daghestanian
koon1244	0	0	0	Atlantic-Congo
lega1249	0	0	0	Atlantic-Congo
mala1479	0	0	0	Austronesian
nyak1260	0	1	0	Atlantic-Congo
timu1262	0	0	0	Austronesian
baki1244	0	0	0	Austronesian
bala1316	0	0	0	Austronesian
mars1254	0	0	0	Austronesian
ping1243	0	0	0	Austronesian
sapu1248	0	0	0	Austroasiatic
amis1246	0	0	1	Austronesian
bang1354	0	0	0	Atlantic-Congo
brah1256	1	0	1	Dravidian
caac1237	0	0	0	Austronesian
geda1237	1	0	0	Austronesian
long1395	0	1	0	Austronesian
viem1243	1	0	0	Atlantic-Congo
west2650	0	0	0	Austronesian
wuvu1239	0	1	0	Austronesian
bong1289	0	1	0	Austronesian
gola1255	0	0	0	Atlantic-Congo
juan1238	1	1	1	Austroasiatic
kele1258	0	0	0	Austronesian
bomk1234	0	1	0	Atlantic-Congo
lala1264	0	0	0	Atlantic-Congo
lund1266	0	0	0	Atlantic-Congo
manm1238	0	0	0	Austroasiatic
sasa1249	0	0	0	Austronesian
wala1266	0	0	0	Austronesian
bayb1234	0	1	0	Austronesian
char1269	1	0	0	Ta-Ne-Omotic
hooo1248	1	1	0	Austroasiatic
kara1482	0	0	0	Central Sudanic
lele1267	0	0	0	Austronesian
teop1238	0	1	0	Austronesian
yulu1243	0	0	1	Central Sudanic
amar1272	0	0	0	Austronesian
arch1244	1	0	1	Nakh-Daghestanian
baka1272	0	0	0	Atlantic-Congo
gand1255	0	0	0	Atlantic-Congo
kava1241	0	1	0	Austronesian
morm1235	0	0	0	Austronesian
pamo1252	0	1	0	Austronesian
east2485	0	1	0	Austronesian
kana1286	1	0	0	Austronesian
ngba1284	0	0	0	Atlantic-Congo
nots1237	0	0	0	Austronesian
peer1241	0	0	0	Atlantic-Congo
rere1240	0	0	0	Austronesian
tean1237	0	0	0	Austronesian
darg1241	1	1	1	Nakh-Daghestanian
jahh1242	0	1	0	Austroasiatic
pare1266	1	1	0	Austroasiatic
vano1237	0	0	0	Austronesian
ilon1239	0	0	0	Austronesian
saaa1240	0	0	0	Austronesian
sapo1253	0	0	0	Austronesian
sora1254	1	0	0	Austroasiatic
tamb1254	0	1	0	Austronesian
wole1240	0	0	0	Austronesian
beem1239	0	0	0	Atlantic-Congo
bolo1262	0	0	0	Atlantic-Congo
hehe1240	0	0	0	Atlantic-Congo
holo1240	0	0	0	Atlantic-Congo
idom1241	0	0	0	Atlantic-Congo
lusi1240	0	0	0	Austronesian
misi1243	1	1	0	Austronesian
