Glottocode	AUTOTYP_area	Longitude	Latitude	Family_ID	Name
anda1280	Southeast Asia	92.738	11.676	indo1319	Andaman Creole Hindi
anda1282	N Australia	127.693718	-16.531222	worr1236	Andadjin
anda1283	N Coast New Guinea	143.637	-4.96449	araf1243	Andai
anda1284	N Coast New Guinea	144.767	-4.48734	lowe1437	Andarum
anda1286	Andean	-76	2.74999	NA	Andaqui
anda1287	N Africa	-5.2	36.54	afro1255	Andalusian Arabic
ande1247	S Australia	137.3515	-22.51278	pama1250	Andegerebinha
andh1242	Indic	77.7156	19.4734	indo1319	Andh
andi1255	Greater Mesopotamia	46.2919	42.8078	nakh1245	Andi
andi1257	Oceania	123.174	-0.88368	aust1307	Andio
ando1254	NE South America	-72.310867	-0.666992	huit1251	Andoquero
ando1255	NE South America	-76.6056	-3.29664	zapa1251	Andoa
ando1256	NE South America	-72.0869	-0.53751	NA	Andoque
andr1246	Southeast Asia	94.033796	24.754303	sino1245	Andro
andr1248	N Coast New Guinea	147.085	-2.05894	aust1307	Andra-Hus
anei1239	Oceania	169.825	-20.1864	aust1307	Aneityum
anem1248	S New Guinea	148.479	-9.75911	yare1250	Aneme Wake
anem1249	N Coast New Guinea	148.993	-5.54836	NA	Anem
anfi1235	Greater Abyssinia	34.647	8.568	gong1255	Anfillo
anga1288	Southeast Asia	93.8668	25.6841	sino1245	Angami Naga
anga1290	Interior New Guinea	146.352	-7.15012	anga1289	Angaataha
anga1292	Interior New Guinea	143.478	-6.13347	nucl1709	Angal Heneng
anga1293	Interior New Guinea	143.592	-6.0127	nucl1709	Angal
anga1294	Interior New Guinea	143.583	-6.23296	nucl1709	Angal Enen
anga1315	Southeast Asia	93.719062	25.896367	sign1238	Angami Naga Sign Language
anga1316	SE South America	-58.45	-22.85	leng1261	Angaité
angg1238	N Australia	142.242	-11.443	pama1250	Angkamuthi
angg1239	Interior New Guinea	139.457	-4.0836	nucl1709	Angguruk Yali
angi1238	Indic	85.534	26.0047	indo1319	Angika
angl1239	Europe	-2.56	51.75	indo1319	Archaic Angloromani
ango1254	N Coast New Guinea	141.199	-3.7167	sena1264	Angor
ango1255	N Coast New Guinea	144.028	-4.07758	lowe1437	Angoram
ango1257	NE South America	-71.9212	6.54198	chib1249	Angosturas Tunebo
