"Name","Glottocode","Family_ID","AUTOTYP_area","Nominal_case","Verb_final","Free_word_order","Latitude","Longitude"
"Bororo","boro1282","boro1281","NE South America","0","1","1",-16.6029,-55.2004
"Bushoong","bush1247","atla1278","S Africa","0","0","0",-4.69463,21.4556
"Car Nicobarese","carn1240","aust1305","Southeast Asia","0","0","0",9.18853,92.7671
"Cherokee","cher1273","iroq1247","E North America","0","0","1",35.4664,-83.163
"Duhumbi","chug1252","sino1245","Indic","1","1","1",27.4177713,92.2255891
"Jaminjung-Ngaliwurru","djam1255","mirn1241","N Australia","1","0","1",-15.0558,130.06
"Eipomek","eipo1242","nucl1709","Interior New Guinea","0","1","1",-4.33691,140.045
"Gangte","gang1266","sino1245","Southeast Asia","1","1","0",24.5113,94.1681
"Icelandic","icel1247","indo1319","Europe","1","0","1",63.4837,-19.0212
"Irarutu","irar1238","aust1307","N Coast New Guinea","0","0","0",-2.94438,133.586
"Kado","kado1242","sino1245","Southeast Asia","0","1","0",21.5259,100.092
"Kaike","kaik1246","sino1245","Indic","1","1","1",28.853,83.1384
"Kashmiri","kash1277","indo1319","Indic","1","0","1",34.166825,74.330455
"Khams Tibetan","kham1282","sino1245","Inner Asia","1","1","0",31.9313,91.7062
"Kuku-Yalanji","kuku1273","pama1250","N Australia","1","1","1",-16.0036,145.188
"Kyerung","kyer1238","sino1245","Indic","1","1","1",28.2922,85.4257
"Latvian","latv1249","indo1319","Inner Asia","1","0","1",56.826108,24.309118
"Marghi Central","marg1265","afro1255","African Savannah","0","0","0",10.93854,13.0521
"Martuthunira","mart1255","pama1250","S Australia","1","0","0",-20.9294,116.607
"Mundabli-Mufu","mund1328","atla1278","African Savannah","0","0","0",6.59969,10.2704
"Northern Paiute","nort2954","utoa1244","California","1","1","0",40.0799,-119.536
"Oksapmin","oksa1245","nucl1709","Interior New Guinea","1","1","1",-5.20797,142.177
"Palauan","pala1344","aust1307","Oceania","0","0","0",7.34138,134.476678
"Vaeakau-Taumako","pile1238","aust1307","Oceania","0","0","0",-10.173335,166.247188
"Querétaro Otomi","quer1236","otom1299","Mesoamerica","0","0","0",20.1396,-100.115
"Ruching Palaung","ruch1235","aust1305","Southeast Asia","0","0","0",21.6176,98.0915
"San Dionisio del Mar Huave","sand1278","huav1256","Mesoamerica","0","0","0",16.3514,-94.7001
"San Miguel El Grande Mixtec","sanm1295","otom1299","Mesoamerica","0","0","1",17.046881,-97.622482
"Hopi","hopi1249","utoa1244","Basin and Plains","1","1","0",35.7653,-110.535
"Southern Sotho","sout2807","atla1278","S Africa","0","0","0",-28.78,27.89
"Tajio","taji1246","aust1307","Oceania","0","0","1",-0.31553,120.01
"Thado Chin","thad1238","sino1245","Southeast Asia","1","1","1",24.096,93.722
"Tohono O'odham","toho1245","utoa1244","Basin and Plains","0","0","1",31.7973,-111.995
"Tooro","toor1238","atla1278","S Africa","0","0","0",0.57291,30.6389
"Tutuba","tutu1241","aust1307","Oceania","0","0","0",-15.580667,167.268889
"Ute-Southern Paiute","utes1238","utoa1244","Basin and Plains","1","1","1",40.0965,-110.305
"Wari'","wari1268","chap1271","NE South America","0","0","0",-10.69948,-64.56152
"Achuar-Shiwiar","achu1248","jiva1245","NE South America","1","1","1",-2.82646,-77.2641
"Alagwa","alag1248","afro1255","S Africa","0","1","0",-4.64148,35.7231
"Bemba (Zambia)","bemb1257","atla1278","S Africa","1","0","0",-10.6122,29.2993
"Buginese","bugi1244","aust1307","Oceania","0","0","1",-4.47,119.977
"Cao Miao","caom1238","taik1256","Southeast Asia","0","0","0",26.2236,109.547
"Chilcotin-Nicola","chil1280","atha1245","Alaska-Oregon","0","1","1",51.98952,-123.24458
"Daai Chin","daai1236","sino1245","Southeast Asia","1","1","0",20.7347,93.7853
"Gamo","gamo1243","gong1255","Greater Abyssinia","1","1","0",6.27645,37.23808
"Amur Nivkh","gily1242","nivk1234","N Coast Asia","1","1","0",52.59,140.681
"Hano","hano1246","aust1307","Oceania","0","0","0",-15.5432,168.167
"Kaqchikel","kaqc1270","maya1287","Mesoamerica","0","0","0",14.4662,-90.9881
"Avava","katb1237","aust1307","Oceania","0","0","0",-16.2701,167.484
"Ket","kett1243","yeni1252","Inner Asia","0","1","0",63.7551,87.5466
"Mbula","mbul1263","aust1307","N Coast New Guinea","0","0","0",-5.66965,148.041
"Merei","mere1242","aust1307","Oceania","0","0","0",-15.2839,166.905
"Nauete","naue1237","aust1307","Oceania","0","0","0",-8.70733,126.741
"Nukna","nukn1238","nucl1709","N Coast New Guinea","1","0","1",-6.0177,146.969
"Pa'a","paaa1242","afro1255","African Savannah","0","0","0",11.0175,9.30091
"Pilagá","pila1245","guai1249","SE South America","0","0","1",-25.0058,-60.1537
"Pnar","pnar1238","aust1305","Indic","0","0","0",24.8237,92.2628
"Tsat","tsat1238","aust1307","Southeast Asia","0","0","0",18.3192,109.336
"Ume Saami","umes1235","ural1272","Europe","1","1","1",64.6383,18.646
"Wayu","wayu1241","sino1245","Indic","1","1","1",27.3047,86.1227
"Western Farsi","west2369","indo1319","Greater Mesopotamia","1","1","0",32.9,53.3
"Beria","zagh1240","saha1256","African Savannah","0","1","0",17.4842,23.4626
"Athpariya","athp1241","sino1245","Indic","1","1","1",26.8794,87.3296
"Bih","biha1246","aust1307","Southeast Asia","0","0","1",12.483333,108.016667
"Byangsi","byan1241","sino1245","Indic","1","1","0",29.92002,80.63653
"Comanche","coma1245","utoa1244","Basin and Plains","1","1","0",34,-101
"Danish","dani1285","indo1319","Europe","0","0","1",54.8655,9.36284
"Djeebbana","djee1236","mani1293","N Australia","0","0","1",-12.0133,134.097
"Drung","drun1238","sino1245","Indic","1","1","1",28.00792,98.49449
"East Ambae","east2443","aust1307","Oceania","0","0","0",-15.3523,167.89
"Eastern Bolivian Guaraní","east2555","tupi1275","SE South America","0","1","1",-20.42,-63.37
"Fur","furr1244","fura1235","African Savannah","1","1","0",12.0455,23.6401
"Hulaulá","hula1244","afro1255","Greater Mesopotamia","0","1","1",31.9111,43.4865
"Irula of the Nilgiri","irul1243","drav1251","Indic","1","1","1",12.70645,79.95209
"Kalaallisut","kala1399","eski1264","E North America","1","1","1",69.3761,-52.864
"Kodava","koda1255","drav1251","Indic","1","1","1",12.2443,75.9161
"Koho","koho1244","aust1305","Southeast Asia","0","0","0",11.6444,108.057
"Kombai","komb1274","nucl1709","S New Guinea","0","1","0",-5.54543,139.902
"Lamaholot","lama1277","aust1307","Oceania","0","0","0",-8.36439,122.803
"Mizo","lush1249","sino1245","Indic","1","1","1",22.6138,92.6247
"Northern Lushootseed","lush1252","sali1255","Alaska-Oregon","0","0","0",48.42,-122.529
"Male (Ethiopia)","male1284","gong1255","Greater Abyssinia","1","1","1",5.91975,36.9892
"Mazagway","maza1304","afro1255","African Savannah","0","0","0",10.175,13.6873
"Mlabri","mlab1235","aust1305","Southeast Asia","0","0","1",18.5533,101.163
"Murui Huitoto","muru1274","huit1251","NE South America","1","1","1",-1.13669,-73.8331
"Nambo","namb1293","more1255","S New Guinea","1","1","1",-8.74501,141.931
"Nawuri","nawu1242","atla1278","African Savannah","0","0","0",8.45116,0.04947
"Niuafo'ou","niua1240","aust1307","Oceania","0","0","0",-15.6014,-175.64
"Pohnpeian","pohn1238","aust1307","Oceania","0","0","0",6.87212,158.223
"Purepecha","pure1242","tara1323","Mesoamerica","1","1","0",19.2467,-101.631
"Quiotepec Chinantec","quio1240","otom1299","Mesoamerica","0","0","1",17.5621,-96.602
"Rumai Palaung","ruma1248","aust1305","Southeast Asia","0","0","1",23.6404,97.3172
"Shilluk","shil1265","nilo1247","African Savannah","0","0","0",9.85472,31.7926
"Shixing","shix1238","sino1245","Southeast Asia","1","1","0",28.3895,100.4
"Shona","shon1251","atla1278","S Africa","0","0","0",-17.20849,29.75725
"Swedish","swed1254","indo1319","Europe","0","0","0",59.800634,17.389526
"Tehuelche","tehu1242","chon1288","SE South America","0","0","1",-47.5796,-68.3235
"Wolio","woli1241","aust1307","Oceania","0","0","1",-5.33,122.67
"Yaminahua","yami1256","pano1259","NE South America","1","1","1",-9.8846,-71.5964
"Yemsa","yems1235","gong1255","Greater Abyssinia","1","1","0",7.79821,37.4412
"Apinayé","apin1244","nucl1710","NE South America","0","1","0",-6.10774,-47.6315
"Bantawa","bant1281","sino1245","Indic","1","1","1",27.12147,87.04738
"Campidanese Sardinian","camp1261","indo1319","Europe","0","0","1",39.0566,9.03935
"Gela","gela1263","aust1307","Oceania","0","0","1",-9.04587,160.186
"Guruntum-Mbaaru","guru1271","afro1255","African Savannah","0","0","0",9.87332,10.162
"Hawaiian","hawa1245","aust1307","Oceania","0","0","0",19.6297,-155.43
"Huarijio","huar1255","utoa1244","Mesoamerica","0","0","0",27.8685,-108.437
"Jambi Malay","jamb1236","aust1307","Southeast Asia","0","0","1",-2.6469,103.13
"Komi-Permyak","komi1269","ural1272","Inner Asia","1","0","1",59.6602,54.7959
"Lavukaleve","lavu1241",NA,"Oceania","0","1","0",-9.05569,159.119
"Maxakalí","maxa1247","nucl1710","NE South America","1","1","1",-16.9402,-40.7891
"Moklen","mokl1243","aust1307","Southeast Asia","0","0","1",8.16761,98.3176
"Ngarinyin","ngar1284","worr1236","N Australia","0","0","1",-16.4006,126.433
"Nhengatu","nhen1239","tupi1275","NE South America","0","0","1",1.04503,-66.9646
"Okanagan","okan1243","sali1255","Basin and Plains","0","0","1",49.2745,-119.294
"Orokolo","orok1267","nucl1580","S New Guinea","0","1","0",-7.81309,145.34
"Ma Manda","sauk1252","nucl1709","N Coast New Guinea","1","1","0",-6.31958,146.759
"Semaq Beri","sema1265","aust1305","Southeast Asia","0","0","1",4.1217,102.816
"Seri","seri1257",NA,"Mesoamerica","0","1","0",28.9877,-112.384
"Soga","soga1242","atla1278","S Africa","0","0","1",0.40456,33.3942
"Sonsorol","sons1242","aust1307","Oceania","0","0","1",5.328596,132.221282
"Turkmen","turk1304","turk1311","Greater Mesopotamia","1","1","0",37.08719,59.17574
"Western Xiangxi Miao","west2430","hmon1336","Southeast Asia","0","0","0",28.33,109.67
"Yau-Nungon","yaum1237","nucl1709","N Coast New Guinea","1","1","1",-6.08274,146.841
"Mungbam","abar1238","atla1278","African Savannah","0","0","0",6.5805,10.2267
"Aneityum","anei1239","aust1307","Oceania","1","0","0",-20.1864,169.825
"Angami Naga","anga1288","sino1245","Southeast Asia","1","1","0",25.6841,93.8668
"Burunge","buru1320","afro1255","S Africa","0","0","1",-5.21369,35.963
"Cemuhî","cemu1238","aust1307","Oceania","0","0","0",-20.8489,165.13
"Chuwabu","chuw1238","atla1278","S Africa","0","0","1",-17.3428,37.1231
"Dazaga","daza1242","saha1256","African Savannah","1","1","0",15.7358,15.8517
"Desano","desa1247","tuca1253","NE South America","1","1","1",0.58157,-69.4955
"Fuyug","fuyu1242","goil1242","S New Guinea","0","1","0",-8.6371,147.312
"Gubeeher-Gufangor-Gubelor","gube1234","atla1278","African Savannah","0","0","0",12.56,-17.19
"Huambisa","huam1247","jiva1245","NE South America","1","1","1",-3.99109,-77.9797
"Kankanaey","kank1243","aust1307","Oceania","1","0","0",16.8548,120.689
"K'iche'","kich1262","maya1287","Mesoamerica","0","0","0",14.5278,-91.1696
"Konkan Marathi","konk1267","indo1319","Indic","1","1","1",18.404,73.994
"Kove","kove1237","aust1307","N Coast New Guinea","0","0","0",-5.58623,149.63
"Laven","lave1248","aust1305","Southeast Asia","0","0","0",15.2726,106.322
"Maithili","mait1250","indo1319","Indic","0","1","0",26.3817,86.2211
"Mokpwe","mokp1239","atla1278","African Savannah","0","0","1",4.24178,9.23887
"Ndamba","ndam1239","atla1278","S Africa","0","0","1",-8.40485,36.0271
"Ngiti","ngit1239","cent2225","S Africa","0","0","1",1.30455,30.2242
"Belep","nyal1254","aust1307","Oceania","0","0","0",-19.72,163.66
"Nyoro","nyor1246","atla1278","S Africa","0","0","0",0.95294,31.3493
"Oluta Popoluca","olut1240","mixe1284","Mesoamerica","0","0","0",17.8937,-94.8863
"Nahavaq","sout2857","aust1307","Oceania","0","0","0",-16.5116,167.477
"Latege","teke1275","atla1278","S Africa","0","0","1",-1.61688,14.8664
"Northern Tosk Albanian","tosk1239","indo1319","Europe","1","0","1",41,20
"Wiru","wiru1244",NA,"Interior New Guinea","1","1","1",-6.35863,144.214
"Wotu","wotu1240","aust1307","Oceania","0","0","1",-2.59593,120.9
"Acoli","acol1236","nilo1247","S Africa","0","0","0",3.57738,32.5147
"Auye","auye1238","nucl1709","N Coast New Guinea","1","1","1",-3.43705,136.096
"Riuk Bekati'","beka1241","aust1307","Southeast Asia","0","0","1",1.3307,109.576
"Bouna Kulango","boun1243","atla1278","African Savannah","0","0","1",8.46011,-2.74627
"Bujhyal","bujh1238","sino1245","Indic","1","1","0",28.0084,84.5068
"Corsican","cors1241","indo1319","Europe","0","0","1",41.7,9.25537
"Crimean Tatar","crim1257","turk1311","Inner Asia","1","1","0",45,34.08
"Culina","culi1244","araw1282","NE South America","0","1","0",-8.55268,-70.6648
"Danau","dana1252","aust1305","Southeast Asia","0","0","0",20.4957,96.998
"Darma","darm1243","sino1245","Indic","0","1","0",29.8629,80.5439
"Dom","domm1246","nucl1709","Interior New Guinea","0","1","1",-6.03737,144.895
"East Kewa","east2516","nucl1709","Interior New Guinea","1","1","1",-6.32989,143.931
"Galo","galo1242","sino1245","Indic","1","1","1",27.9805586,94.6884956
"Guahibo","guah1255","guah1252","NE South America","1","1","0",5.81736,-68.9839
"Guerrero Amuzgo","guer1243","otom1299","Mesoamerica","0","0","0",16.77226,-98.18953
"Huichol","huic1243","utoa1244","Mesoamerica","0","1","0",21.954,-104.062
"Iduna","idun1242","aust1307","S New Guinea","0","1","1",-9.34361,150.24
"Mam","mamm1241","maya1287","Mesoamerica","0","0","0",14.8034,-91.7231
"Mi'kmaq","mikm1235","algi1248","E North America","1","0","1",46,-64
"Mosetén-Chimané","mose1249",NA,"NE South America","0","0","1",-14.64448,-67.83756
"Kathmandu Valley Newari","newa1246","sino1245","Indic","1","1","0",27.67,85.326
"Nopala Chatino","nopa1235","otom1299","Mesoamerica","1","0","1",16.0954,-97.1339
"Northern Haida","nort2938","haid1248","Alaska-Oregon","0","1","0",54.004532,-132.079257
"Rotokas","roto1249","nort2933","Oceania","0","1","0",-5.94339,155.154
"Sauria Paharia","saur1249","drav1251","Indic","1","1","1",24.8124,87.6432
"Sicilian","sici1248","indo1319","Europe","0","0","1",37.5735,14.0414
"Tangam","tang1377","sino1245","Indic","1","1","0",28.95,94.98
"Tausug","taus1251","aust1307","Southeast Asia","0","0","0",5.12236,118.88
"Tuvalu","tuva1244","aust1307","Oceania","0","0","1",-8.520813,179.198088
"West Coast Bajau","west2560","aust1307","Southeast Asia","0","0","1",6.00631,116.124
"Balantak","bala1315","aust1307","Oceania","0","0","1",-0.86809,123.289
"Central Bontoc","cent2292","aust1307","Oceania","0","0","1",17.08,120.92
"Columbia-Wenatchi","colu1241","sali1255","Basin and Plains","0","0","1",48.217,-118.454
"Darai","dara1250","indo1319","Indic","1","1","0",27.8623,84.1357
"Dera (Nigeria)","dera1248","afro1255","African Savannah","0","0","0",10.072,12.0256
"Tawra","diga1241","sino1245","Indic","1","1","0",28.4993,96.8803
"Gade","gade1242","atla1278","African Savannah","0","0","0",8.71139,7.49869
"Haruai","haru1245","piaw1238","Interior New Guinea","0","1","1",-5.09522,144.3375
"Iaai","iaai1238","aust1307","Oceania","0","0","0",-20.6301,166.59
"Kera","kera1255","afro1255","African Savannah","0","0","0",9.88165,15.1419
"Kolbila","kolb1240","atla1278","African Savannah","0","0","0",8.26797,13.2707
"Lote","lote1237","aust1307","N Coast New Guinea","0","0","0",-5.954,150.911
"Minigir","mini1251","aust1307","N Coast New Guinea","0","0","0",-4.31803,152.005
"North Marquesan","nort2845","aust1307","Oceania","0","0","0",-8.89412,-140.108
"Olo","oloo1241","nucl1708","N Coast New Guinea","0","0","1",-3.2929,142.131
"Romansh","roma1326","indo1319","Europe","0","0","0",46.5538,9.92812
"Runga","rung1258","maba1274","African Savannah","0","1","0",9.7154,20.9945
"Sedang","seda1262","aust1305","Southeast Asia","0","0","1",14.7793,108.027
"Swahili","swah1253","atla1278","S Africa","0","0","0",-8.25605,37.624
"Tokelau","toke1240","aust1307","Oceania","1","0","1",-9.227642,-171.780833
"Tswana","tswa1253","atla1278","S Africa","0","0","0",-24.368,24.7587
"Tungag","tung1290","aust1307","N Coast New Guinea","0","0","0",-2.52188,150.198
"Waiwai","waiw1244","cari1283","NE South America","0","0","1",1.50881,-59.1417
"Wayana","waya1269","cari1283","NE South America","1","0","1",2.77537,-54.4429
"Akateko","west2635","maya1287","Mesoamerica","0","0","0",15.5932,-91.8421
"Yakan","yaka1277","aust1307","Oceania","1","0","0",6.531023,122.021729
"Aimele","aime1238","bosa1245","S New Guinea","1","1","0",-6.68656,142.656
"Alabama","alab1237","musk1252","E North America","1","1","1",30.76738,-94.62848
"Amdo Tibetan","amdo1237","sino1245","Inner Asia","1","0","1",34.5177,100.485
"Bini","bini1246","atla1278","African Savannah","0","0","1",6.40701,5.70426
"Central Khmer","cent1989","aust1305","Southeast Asia","0","0","1",12.0515,105.015
"Comox","como1259","sali1255","Alaska-Oregon","1","0","0",49.7233,-124.967
"Dagbani","dagb1246","atla1278","African Savannah","0","0","0",9.64745,-0.43227
"Fulniô","fuln1247",NA,"NE South America","0","1","0",-9.02591,-37.1402
"Guiqiong","guiq1238","sino1245","Southeast Asia","1","1","0",30.4803,102.128
"Gunya","guny1241","pama1250","S Australia","1","0","0",-27.0642,145.862
"Hidatsa","hida1246","siou1252","Basin and Plains","1","1","0",47.33,-102
"Hõne","hone1235","atla1278","African Savannah","0","0","0",9.79715,10.9206
"Ibanag","iban1267","aust1307","Oceania","0","0","0",17.4201,121.891
"Kara (Papua New Guinea)","kara1486","aust1307","N Coast New Guinea","0","0","0",-2.81957,151.111
"Kiowa","kiow1266","kiow1265","Basin and Plains","1","1","0",34.9403,-98.9042
"Kusaghe-Njela","kusa1251","aust1307","Oceania","0","0","0",-8.04056,157.463
"Lishanid Noshan","lish1245","afro1255","Greater Mesopotamia","0","1","1",36.213298,44.065281
"Luguru","lugu1238","atla1278","S Africa","0","0","1",-6.86828,37.5557
"Macuna","macu1260","tuca1253","NE South America","0","0","0",-0.14459,-70.0749
"Mandara","mand1440","aust1307","N Coast New Guinea","0","0","0",-2.7828,151.956
"Matigsalug Manobo","mati1250","aust1307","Oceania","1","0","0",7.72124,125.16
"Michoacán Nahuatl","mich1245","utoa1244","Mesoamerica","0","0","0",18.3412,-103.361
"Ndogo","ndog1248","atla1278","African Savannah","0","0","0",7.73028,27.5588
"Northern Pumi","nort2723","sino1245","Southeast Asia","0","1","0",28.6626,101.305
"Rabha","rabh1238","sino1245","Indic","1","1","0",25.8248,91.1689
"South Fali","sout2782","atla1278","African Savannah","0","0","1",9.51408,13.6164
"Thangmi","than1259","sino1245","Indic","1","1","0",28.7554,85.7657
"Tiefo-Daramandugu","tief1242","atla1278","African Savannah","0","0","1",10.7184,-4.52619
"Ulithian","ulit1238","aust1307","Oceania","0","0","0",9.961388,139.603611
"Yaaku","yaak1241","afro1255","S Africa","0","0","1",0.46863,37.1008
"Yuracaré","yura1255",NA,"NE South America","0","0","1",-16.7479,-65.1224
"Hokkaido Ainu","ainu1240","ainu1252","N Coast Asia","0","1","0",43.633654,142.46167
"Banda-Bambari","band1344","atla1278","African Savannah","0","0","0",6.21563,20.9827
"Bariai","bari1286","aust1307","N Coast New Guinea","0","0","0",-5.5087,148.666
"Boro (Ethiopia)","boro1277","gong1255","Greater Abyssinia","1","1","0",10.6596,35.345
"Chácobo","chac1251","pano1259","NE South America","1","0","0",-12.133,-66.7164
"Bolivar-North Chimborazo Highland Quichua","chim1302","quec1387","Andean","1","1","1",-1.36727,-78.8521
"Chothe","chot1239","sino1245","Southeast Asia","1","1","1",24.3722,94.2408
"Gude","gude1246","afro1255","African Savannah","0","0","0",10.2138,13.403
"Gumawana","guma1254","aust1307","S New Guinea","0","1","0",-9.28497,150.762
"Hoava","hoav1238","aust1307","Oceania","0","0","0",-8.19679,157.595
"Huastec","huas1242","maya1287","Mesoamerica","0","0","0",21.6153,-98.5028
"Ibatan","ibat1238","aust1307","Oceania","0","0","1",18.9398,121.909
"Itbayat","ivat1242","aust1307","Oceania","1","0","1",20.77,121.85
"Karajá","kara1500","nucl1710","NE South America","0","1","0",-11.1881,-50.3492
"Kuikúro-Kalapálo","kuik1246","cari1283","NE South America","1","1","0",-12.3035,-53.2261
"Kwamera","kwam1252","aust1307","Oceania","0","0","0",-19.5954,169.442
"Lepcha","lepc1244","sino1245","Indic","0","1","0",27.0869,88.5726
"Lou","louu1245","aust1307","N Coast New Guinea","0","0","0",-2.38659,147.346
"Madak","mada1285","aust1307","N Coast New Guinea","0","0","0",-3.34342,151.967
"Maisin","mais1250","aust1307","S New Guinea","0","1","0",-9.22853,148.731
"Nez Perce","nezp1238","saha1239","Basin and Plains","1","0","1",46.3073,-116.408
"North Giziga","nort3047","afro1255","African Savannah","0","0","0",10.6755,14.219
"Q'anjob'al","qanj1241","maya1287","Mesoamerica","0","0","0",15.6846,-91.3043
"Sarsi","sars1236","atha1245","Basin and Plains","0","1","0",50.8822,-114.301
"Sô","sooo1254","aust1305","Southeast Asia","0","0","0",16.9081,105.001
"Southern Pashto","sout2649","indo1319","Greater Mesopotamia","1","1","0",31.5,65.7
"Tabaru","taba1263","nort2923","Oceania","0","1","0",1.46563,127.633
"Tahaggart Tamahaq","taha1241","afro1255","N Africa","1","0","0",22.5908,8.73169
"Upper Necaxa Totonac","uppe1275","toto1251","Mesoamerica","0","0","0",20.236,-97.81
"Waigeo","waig1244","aust1307","N Coast New Guinea","0","0","0",-0.17957,130.917
"Yonggom","yong1280","nucl1709","S New Guinea","1","1","0",-6.42956,141.213
"Zoogocho Zapotec","zoog1238","otom1299","Mesoamerica","0","0","1",17.2016,-96.3433
"Aghu","aghu1255","nucl1709","S New Guinea","0","1","0",-6.34674,140.043
"Amam","amam1246","goil1242","S New Guinea","0","1","0",-7.9,146.92
"Shidong Biao","biao1253","taik1256","Southeast Asia","0","0","0",23.656,113.391
"Botolan Sambal","boto1242","aust1307","Oceania","1","0","1",15.2315,120.164
"Dzongkha","dzon1239","sino1245","Indic","1","1","0",27.410786,89.581604
"Hu","huuu1240","aust1305","Southeast Asia","0","0","1",22.0163,100.881
"Kambera","kamb1299","aust1307","Oceania","0","0","1",-9.88447,120.235
"Konyak Naga","kony1248","sino1245","Southeast Asia","1","1","0",26.6823,95.0598
"Koorete","koor1239","gong1255","Greater Abyssinia","1","1","1",5.80545,37.8679
"Lahu","lahu1253","sino1245","Southeast Asia","0","1","0",21.2701,100.214
"Lamkang","lamk1238","sino1245","Southeast Asia","1","1","1",24.1523,94.2706
"Lembena","lemb1266","nucl1709","Interior New Guinea","1","1","1",-4.99504,143.891
"Manam","mana1295","aust1307","N Coast New Guinea","0","1","0",-4.07921,145.033
"Maricopa","mari1440","coch1271","Basin and Plains","1","1","1",33.5123,-111.749
"Murle","murl1244","surm1244","African Savannah","1","0","1",6.69756,33.988
"Kwomtari","nucl1593","kwom1263","N Coast New Guinea","0","1","0",-3.50718,141.488
"Seke (Vanuatu)","seke1241","aust1307","Oceania","0","0","0",-15.8839,168.197
"Shor","shor1247","turk1311","Inner Asia","1","1","0",52.32607,88.4344
"Sio","sioo1240","aust1307","N Coast New Guinea","0","0","0",-5.96037,147.353
"Thulung","thul1246","sino1245","Indic","1","1","0",27.5389,87.6063
"Tukang Besi North","tuka1248","aust1307","Oceania","0","0","1",-5.30994,123.578
"Wageman","wage1238",NA,"N Australia","1","0","1",-13.8627,131.893
"Yele","yele1255",NA,"S New Guinea","0","0","1",-11.3796,154.127
"Yuchi","yuch1247",NA,"E North America","0","1","1",35.75,-86.75
"Akuntsu","akun1241","tupi1275","NE South America","0","1","0",-12.8322,-60.9716
"Ami","amii1238","west2434","N Australia","0","0","1",-13.5573,130.04
"Central Cagayan Agta","cent2084","aust1307","Oceania","0","0","1",17.9571,121.857
"Dobu","dobu1241","aust1307","S New Guinea","0","1","1",-9.63239,150.825
"Farefare","fare1241","atla1278","African Savannah","0","0","0",11.0918,-0.81109
"Kabardian","kaba1278","abkh1242","Greater Mesopotamia","1","1","0",43.5082,43.3918
"Keapara","keap1239","aust1307","S New Guinea","1","1","1",-10.1342,147.95
"Kuanua","kuan1248","aust1307","N Coast New Guinea","0","0","0",-4.30986,152.114
"Kuot","kuot1243",NA,"N Coast New Guinea","1","0","0",-3.06952,151.537
"Kuy","kuyy1240","aust1305","Southeast Asia","0","0","0",14.6698,104.911
"Kwoma","kwom1262","sepi1257","N Coast New Guinea","1","1","0",-4.08721,142.664
"Maybrat-Karon","maib1239",NA,"N Coast New Guinea","0","0","1",-1.3679,132.591
"Maragus","mara1399","aust1307","Oceania","0","0","0",-16.0695,167.33
"Matsés","mats1244","pano1259","NE South America","1","0","1",-5.73914,-72.6281
"Mpi","mpii1239","sino1245","Southeast Asia","1","1","1",18.1717,100.21
"Nalik","nali1244","aust1307","N Coast New Guinea","0","0","0",-2.94411,151.332
"Port Sandwich","port1285","aust1307","Oceania","0","0","0",-16.4952,167.78
"Seneca","sene1264","iroq1247","E North America","0","0","1",42.56,-77.53
"Tboli","tbol1240","aust1307","Oceania","0","0","0",6.20377,124.538
"Urarina","urar1246",NA,"NE South America","0","0","0",-4.44006,-75.4211
"Xishanba Lalo","xish1235","sino1245","Southeast Asia","0","1","1",24.8709,100.711
"Yindjibarndi","yind1247","pama1250","S Australia","1","0","1",-21.5379,117.001
"Zaiwa","zaiw1241","sino1245","Southeast Asia","1","1","0",24.1726,98.3643
"Awadhi","awad1243","indo1319","Indic","1","1","1",27.5907,82.4663
"Bafia","bafi1243","atla1278","African Savannah","0","0","1",4.72603,11.0982
"Bora","bora1263","bora1262","NE South America","1","0","1",-2.000259,-72.257066
"Canela-Krahô","cane1242","nucl1710","NE South America","1","1","0",-6.10712,-45.1299
"Central Kanuri","cent2050","saha1256","African Savannah","0","1","1",11.8,13.13
"Dumbea","dumb1241","aust1307","Oceania","0","0","0",-22.0947,166.531
"Galibi Carib","gali1262","cari1283","NE South America","0","1","1",5.83772,-56.8323
"Hamer-Banna","hame1242","sout2845","Greater Abyssinia","1","1","1",5.06515,36.5176
"Kamba (Kenya)","kamb1297","atla1278","S Africa","0","0","1",-1.60827,37.9532
"Kharam Naga","khar1288","sino1245","Southeast Asia","1","1","0",25.2738,94.0503
"Kuanyama","kuan1247","atla1278","S Africa","0","0","0",-17.7176,16.58
"Kusunda","kusu1250",NA,"Indic","1","1","0",28.33,82.6
"Lewo","lewo1242","aust1307","Oceania","0","0","0",-16.7612,168.334
"Lowland Oaxaca Chontal","lowl1260","tequ1244","Mesoamerica","0","0","1",15.9497,-95.6876
"Luang","luan1263","aust1307","Oceania","0","0","0",-8.18378,127.944
"Magdalena Peñasco Mixtec","magd1235","otom1299","Mesoamerica","0","0","1",17.2837,-97.5413
"Maltese","malt1254","afro1255","Europe","1","0","1",35.8884,14.4508
"Malua Bay","malu1245","aust1307","Oceania","0","0","0",-15.9813,167.208
"Mangareva","mang1401","aust1307","Oceania","0","0","0",-23.1095,-134.97
"Mapos Buang","mapo1242","aust1307","N Coast New Guinea","0","0","0",-6.86672,146.774
"Maranunggu","mara1386","west2434","N Australia","0","1","1",-13.6754,130.12
"Mbay","mbay1241","cent2225","African Savannah","0","0","0",8.23066,15.7328
"Mpoto","mpot1240","atla1278","S Africa","0","0","1",-11.13767,34.71269
"Nakanai","naka1262","aust1307","N Coast New Guinea","0","0","0",-5.59931,150.888
"Nauru","naur1243","aust1307","Oceania","0","0","1",-0.52957,166.922
